1;С праздником, любимая, тебя!$Пусть твоя приятная улыбка$Не покинет твоего лица.$Глуюже плавай, золотая рыбка!$И... не попадайся на живца!
1;Среди выскоих слов$Всех выше слово "мать!"$Позволь, родная, мне$К ногам твоим припасть!$В минуты трудные$Ты мне на помощь шла,$От разных бед$В дороге сберегла,$Дарила столько мне$Душевного тепла,$Что даже ночь$Порой была светла!$Ты всех на свете$Ближе и родней$Тебе желаю$Много ясных дней.$Невзгоды все забудь,$Как горький сон,$И низкий, до земли,$Прими поклон!
1;Став первым словом в год наш колыбельный,$Оно порой входило в дымный круг$И на устах солдата$В час смертный$Последним зовом становилось вдруг.$На это слово не ложаться тени,$И в тишине, наверное, потому$Слова другие,$Преклонив колени,$Желают исповедаться ему.$Родник, услугу оказав кувшину,$Лепечет это слово от того,$Что вспоминает горную вершину:$Она прослыла матерью его.$И молния прорежет тучу снова,$И я услышу, за дождем следя,$Как, впитываясь в землю, это слово$Вызывают капельки дождя.$Тайком вздохнув, о чем - нибудь горюя$И скрыв слезу при ясном свете дня,$"Не беспокойся,-$Маме говорю я,-$Все хорошо, родная, у меня."$Тревожится за сына постоянно,$Святой любви великая раба.$Из тысяч слов земли и океана$У этого особая судьба.
1;Счастья - без меры!$Здоровья - без меры!$Много успехов,$Надежды и веры!
1;Успехов и счастья желаю,$Открытку на память дарю,$Привет от души посылаю,$"Люблю",- я тебе говорю.
1;Хочу, друзья, сейчас сказать о том,$И думаю, не разойдусь в оценке с вами, -$Что сердце человека - это дом,$Дом со своими четырьмя углами.В нем все углы теплом освещены,$Огнем любви... Как он великолепен!$И первый угол - это свет жены,$Второй - детишек непослушных лепет.А третий угол - близкие друзья,$Четвертый - гости... Всех сочту едва ли.$Свой тост высокий поднимаю$За то, чтобы сердца не пустовали.
1;Чтоб жить - не тужить$До ста лет довелось,$Пусть сбудется все,$Что еще не сбылось.$Пусть будут морщинки,$Но только отсмеха,$Пусть будут слезинки,$Они - не беда.$И пусть же слезинки$(но только от счастья)$Сопутствуют Вам,$И всегда и везде!
1;Я предлагаю тост такой:$Коль довелось нам здесь собраться,$Пускай вино течет рекой,$И нам бы в той реке купаться!
2;Бухгалтер (перепевка песни А. Апиной)$Мне надоело с годовыми разбираться$И надоело мне балансы выверять$Не буду больше каждый вечер оставаться$Не буду больше переводы квитовать Свой калькулятор безотказный поломаю$На нем не нужно ничего сейчас считать$Как птица я теперь свободно запорхаю$И так в полголоса я буду напевать /припев/$Бухгалтер, милый мой бухгалтер.$Вот он какой, такой простой$Бухгалтер, милый мой бухгалтер,$А счастье будет, если есть в душе покой$Бухгалтер, милый мой бухгалтер,$Вот он какой, такой простой$Бухгалтер, милый-милый мой бухгалтер,$Зато родной, зато весь мой. Теперь на грядках только буду ковыряться$Капусту квасить и огурчики солить$Полоть картошку и тихонько удивляться$Что мне не надо дебет с кредитом сводить А, если вдруг я по работе заскучаю$И бухгалтерию увидеть захочу$К вам прилечу, и это твердо обещаю$На весь ***** банк с порога сразу прокричу /припев/
2;Hе живи уныло,$Hе жалей - что было,$Hе гадай - что будет,$Береги - что есть!
2;Hе печалься, что идут года$И волосы от времени седеют,$Пусть будет молодой душа,$А души молодые не стареют!
2;Hе считай, сколько лет,$Это всё - ерунда, для науки выдуман счёт.$Сердце бъётся во все года$Одинаково горячо!
